,25.186806,Intro
25.186806,57.8,Jace Talk: Changing Localisation via the Swedish menus
57.8,1459.92,Loading the world
73.32,100.230344,Jace Talk: Basic Movement & Controls
100.230344,155.16,Jace Talk: Multiplayer Ping & Text Chat
155.16,243.88,Jace Talk: Finding Resources
243.88,303,Jace Talk: Gathering Resources
303,444.2,Jace Talk: Using Resources
444.2,459.28,Jace Talk: Multiplayer Crafting
459.28,651.16,Jace Talk: Automating Resource gathering
651.16,747.08,Jace Talk: Supplying Power
747.08,866,Jace Talk: Automating Crafting (Part 1)
866,968.818506,Jace Talk: Expanding a Power Grid
968.818506,1014.32,Jace Talk: Automating Crafting (Part 2)
1014.32,1088.48,Jace Talk: Conveyor Belts
1088.48,1187.12,Jace Talk: Factory Organization
1187.12,1217.6,Jace Talk: Factory Overview
1217.6,1294.516063,Jace Talk: Exploration
1294.516063,1407.56,Jace Talk: Combat
1407.56,1426.24,Jace Talk: Exploring for different Resources
1426.24,1462.88,Outro
1462.88,,End Tag
