,6.28,Intro
6.28,35,Kristoffer Talk: History at Coffee Stain
35,73.6,Kristoffer Talk: Amount of animation in Satisfactory
73.6,91.66,Kristoffer Talk: Kristoffer's favourite animations
91.66,172.62,Kristoffer Talk: Personality of animations
164.9,168.34,Crab Boss animation - Release Babies
172.62,243.56,Kristoffer Talk: Collaborating with other Coffee Stainers
243.56,258.52,Kristoffer Talk: Hardware
258.52,304.52,Kristoffer Talk: Easter Eggs & Community Feedback
304.52,311.96,Outro
311.96,,End Tag
