,47.047,Intro
47.047,62.437374999999996,Sightseeing (Part 1)
62.437374999999996,180.63879166666666,Jace Talk: We've added Trains
180.63879166666666,194.15229166666666,Sightseeing (Part 2)
194.15229166666666,201.326125,Jace Talk: We've revampled the end-game areas
201.326125,208.79191666666665,Sightseeing (Part 3)
208.79191666666665,222.76420833333333,Jace Talk: Upgraded buildings available
222.76420833333333,227.68579166666666,Sightseeing (Part 4)
227.68579166666666,244.7445,Jace Talk: Bauxite
244.7445,261.97004166666665,Jace Talk: Snutt's little baby
261.97004166666665,276.85991666666666,Sightseeing (Part 4)
276.85991666666666,312.72908333333334,Jace Talk: We've added Nuclear Power
312.72908333333334,344.7610833333333,Outro
344.7610833333333,,Pizza
