,24.68,Intro
24.68,79.06,Jace Talk: Impact of global pandemic
79.06,122.12,Jace Talk: Steam Release
122.12,145.62,Q&A: When is the Steam release going to come?
145.62,168.98,Q&A: What will the price be on Steam?
168.98,187.22,Q&A: Do Epic save files work on Steam?
187.22,206.74,Q&A: Can I transfer my Epic version to Steam?
206.74,237.3,Q&A: Will there be cross-platform support between Steam and Epic?
237.3,254.96,Jace Talk: More information on Steam release and next Update coming soon
254.96,319.04,Jace Talk: Let's Gay It Out
319.04,364.76,Outro
364.76,,End Tag
