,27.660966666666667,Intro
27.660966666666667,60.427033333333334,Jace Talk: JaceArt
60.427033333333334,94.46103333333333,Jace Art: You guys want boats? I'll give you boats.
94.46103333333333,120.3202,Jace Talk: #looking-for-group
120.3202,194.3942,Jace Art: Coffee Machine
194.3942,252.71913333333333,Jace Art: Jace & Snutt Statues
252.71913333333333,292.02506666666665,Jace Art: TP in the loo
292.02506666666665,353.2529,Jace Art: Usernames in photomode
353.2529,392.5922,"Jace Art: Elevators, Dedicated doggo pen"
392.5922,441.40763333333337,"Jace Art: Lamps, Lights, and Floodlights"
441.40763333333337,489.3221666666667,Jace Art: Packing up the base
489.3221666666667,533.2660666666667,Jace Art: Programmable Automation Robot
533.2660666666667,580.4131666666667,Outro
580.4131666666667,,Jace Art: Bonus Clip!
