,52.48576666666667,Intro
52.48576666666667,86.3863,Q&A: Will there be a feature to allow multiple bases for competitive multiplayer?
86.3863,134.26746666666668,Q&A: Are there any plans beyond 1.0?
134.26746666666668,137.0369,Q&A: How are you?
137.0369,163.83033333333333,Q&A: Do you have a timeline on when you want to start implementing lore? Is it on the near horizon?
163.83033333333333,261.52793333333335,Q&A: Is there any possibility it might come to PS4 and Xbox?
261.52793333333335,305.83886666666666,Q&A: Are there any hidden parts of the map you think people haven't found?
305.83886666666666,309.87623333333335,Q&A: How many likes on this YouTube video for Jace to get fired?
309.87623333333335,354.5542,Q&A: Can we get survival features added in a mode for those of us who want more of a challenge?
354.5542,371.83813333333336,Q&A: What was your inspiration of making Satisfactory?
371.83813333333336,390.9238666666667,Q&A: Will there be a 1:1 Lizard Doggo plushie?
390.9238666666667,429.5291,"Q&A: Will there be any environmental influences later on, like climate change or heatwave storms?"
429.5291,435.5351,Q&A: What is the story with the Mercer Sphere?
435.5351,476.04223333333334,Q&A: Will there be achievements?
476.04223333333334,527.5603666666667,Q&A: Can we use Turbofuel in Jetpacks?
527.5603666666667,538.5713666666667,Q&A: Will you add Pipes?
538.5713666666667,591.3240666666667,Q&A: Are there any plans to put a blueprint system in the game?
591.3240666666667,600.6,"Q&A: What about the giant crab in the trailer, can we get that?"
600.6,632.7321000000001,Q&A: Will there be vehicle optimization for co-op?
632.7321000000001,695.2278666666667,"Q&A: Any plans to make more randomness like resources, start locations, other random world elements?"
695.2278666666667,696.7961,Q&A: How's life?
696.7961,736.1020333333333,Q&A: Will we ever be able to do something with Nuclear Waste?
736.1020333333333,763.0623,Q&A: How about water craft or underwater exploration?
763.0623,781.3472333333333,Q&A: Any new maps coming?
781.3472333333333,823.1223,"Q&A: What was the thought process behind the design of the engineer, will we see character creation?"
823.1223,839.8723666666667,Q&A: What are the community managers' favourite dinosaurs?
839.8723666666667,848.1473,Q&A: Is the poisonous gas going to be hallucinogenic?
848.1473,854.7539,Q&A: Does this look infected to you?
854.7539,905.4712333333333,"Q&A: Will there be more optimisation for our low end PCs, both GPU and CPU side?"
905.4712333333333,936.7691666666667,Q&A: Will you add cheese?
936.7691666666667,972.8051666666667,"Q&A: Do you plan on adding something like roads, placeable similarly to rails but wider?"
972.8051666666667,1062.4280333333334,Q&A: What about lights or sleeping through the night?
1062.4280333333334,1119.4850333333334,Q&A: What will the next update have?
1119.4850333333334,1132.131,Q&A: Will there be a Jace poster?
1132.131,1166.9324333333334,Q&A: Will there be an official peaceful/passive mode?
1166.9324333333334,1212.1442666666667,Q&A: How do you guys feel about an underground biome?
1212.1442666666667,1276.8422333333333,Outro
1276.8422333333333,,Outtakes
