,95.36193333333334,Intro
95.36193333333334,124.9248,New Parts coming in Update 4
124.9248,154.154,Coffee Stain R&D Factory
154.154,245.57866666666666,Packaged Alumina Solution & Packaged Sulphuric Acid
245.57866666666666,333.23290000000003,Aluminum Casing
333.23290000000003,443.557086,Plutonium Waste
443.557086,536.9364,Magnetic Field Generator
536.9364,640.7067333333333,Assembly Director System
640.7067333333333,713.1457666666666,Thermal Propulsion Rocket
713.1457666666666,757.1897666666666,Outro
757.1897666666666,,End Tag
