,96.95833333333333,Intro
96.95833333333333,232.694613,Update 4 Information Film
117.674411,163.625,Tier 7 is getting a makeover
163.625,185.58333333333334,We're also adding Nitrogen Gas
185.58333333333334,195.325577,The Blender
195.325577,205.875,Encased Uranium Cells now produced in the Blender
205.875,228.767243,Plutonium
232.694613,387.439767,Exploring the basement
259.82206,283.432566,Power Storage
283.432566,307.5833333333333,Power Generators are no longer Self-Regulating
307.5833333333333,319.2083333333333,"Geothermal is getting a change, too"
319.2083333333333,327.0833333333333,Power Switches
327.0833333333333,372.0833333333333,Lights
387.4583333333333,513.75,Finding the key
409.4583333333333,458.9583333333333,Drones
468.081481,498.0833333333333,Hover Pack
513.75,584.3333333333334,Finding the secret door
565.625,573.0833333333334,Zip Lines
584.3333333333334,,The final secret of Update 4
604.9583333333334,639.8333333333334,Particle Accelerator
