,587.1667024476945,Stream starting soon
587.1667024476945,666.7667072983953,Intro
666.7667072983953,689.912154,Community FYI: CSS has now just descended to copying mods I see.
698.487301,717.498298,"Community FYI: What do you mean ""has now"" - they've been doing it for years."
729.209865,744.948918,Community FYI: Update is legit. Love it. Thank you to you and everyone else on the team.
748.356245,772.32785,"Community FYI: Never trust Jace again. never lights, never flying shit, bla bla blah"
774.507447,794.0333817204956,Community FYI: When Panakotta was demoing the lights and both of you trying not to say anything...
795.1333817875279,819.883611,Community FYI: I have my work cut out for me this week. so many videos to make.
820.572844,823.999173,Q&A: How long has Jace been working at Coffee Stain?
825.538591,834.665785,Community FYI: When you threw the tape at your ps5 it truly hurt. Physically.
836.219711,838.7263,Q&A: Do we have lights though? really?
840.447705,887.491221,Q&A: Didn't you say you were on vacation?
906.7000552528946,911.087849,Community FYI: I like the new bigger stacks for some items
913.940124,950.272706,"Community FYI: This is the 2nd update where you added a feature that you said ""we're not adding"""
989.301134,1015.132323,"Q&A: So big fan of Dora, I assume?"
1015.132323,1029.693311,Q&A: Anything about dream vacation?
1034.675627,1046.335425,Q&A: Was the Dora sketch before Human Fall Flat (which also had a Dora bit)
1074.351782,1087.516255,Community FYI: Snutt should've been Diego?
1142.672573,1189.193393,Snutt & Jace Talk: Editing the Update 3 video
1224.485247,1270.840351,Q&A: How did you get the idea for the Dora sketch?
1270.840351,1290.241949,Community FYI: Way more planned out? LITERALLY WENT TO THE LHC?
1290.2334119581556,1324.781309,Snutt Talk: Video writing process
1324.781309,1335.682573,Snutt & Jace Talk: Improvisation
1337.391995,1425.320862,Snutt & Jace Talk: The concept of the Dora the Explorer thing
1425.320862,1460.347463,Snutt & Jace Talk: Jace doesn't remember helping write the script
1463.026803,1527.313425,Snutt & Jace Talk: The original idea & filming around the office
1528.555384,1535.187503,Community FYI: Jace's accents were on point
1535.200093552712,1620.212654,Snutt Talk: Researching Dora the Explorer & Blues Clues
1620.331392,1664.580323,Jace Talk: Showing the trailer off early
1664.580323,1710.197393,Snutt Talk: Blue's Clues
1710.0334375401178,1715.760224,"Community FYI: You look a lot like Dora, so that worked out"
1719.427611,1858.877691,Snutt Talk: The VFX shot
1937.683394,1978.738021,Snutt Talk: Filming & Rehearsing
1978.73345391428,2036.789734,Jace Talk: Patch Notes Closed Captions
2184.033466424944,2218.81733,Community FYI: I saw the camera shake
2221.3334686979483,2226.108828,Q&A: Update 4 is the last one?
2238.863524,2914.233510922202,Patch Notes Commentary: Intro
