,46.916666666666664,Intro
46.916666666666664,67.75,"Snutt Talk: If you have bugs or feedback, use the QA Site"
67.75,92.66666666666667,Snutt Talk: Accessing the Experimental Branch
92.66666666666667,109.25,Snutt Talk: Expected date for Update 4 on Early Access
109.25,123.75,Snutt Talk: Changes coming to Update 4 on Experimental
123.75,206.375,Snutt Talk: Sinking Plutonium Fuel Rods
206.375,252.91666666666666,Snutt Talk: Tweaking Update 4 Bauxite & other Recipe numbers
252.91666666666666,279.75,Snutt Talk: Tweaking Update 4 Alt Recipes
279.75,305.2916666666667,"Snutt Talk: If you have thoughts or feedback about Recipe balancing, use the QA Site"
305.2916666666667,386.0833333333333,Snutt Talk: Cheatcrete
386.0833333333333,426.375,Outro
426.375,,End Tag
