,44.044000000000004,Intro
44.07736666666667,72.5725,Video Agenda
72.60586666666667,127.39393333333334,Jace Talk: Northern Forest is getting a rework
127.4273,272.4388333333333,Jace Talk: Northern Forest feedback
272.4722,373.5398333333333,Jace Talk: Dune Desert Update
373.5732,397.02996666666667,"Jace Talk: The Northern Forest & the Dune Desert are considered ""final"""
397.06333333333333,451.978662,Jace Talk: Cave Update
452.01823333333334,493.9935,Jace Talk: Northern Forest teaser cave before & after shot
494.02686666666665,542.7755666666667,Q&A: Can we get a map to see what's been worked on & what's been changed
542.8089333333334,611.5442666666667,Jace Talk: Roadmap for Map changes
611.5776333333333,668.5011666666667,Q&A: What's happening with Resource Nodes?
668.5345333333333,701.0336666666667,Jace Talk: Water changes not coming in Update 5
701.0670333333334,732.3649666666666,Outro
732.3983333333333,,End Tag
