,162.72923333333333,Intro
0,17.083733333333335,Jace Talk: The Lie
18.985633333333332,54.020633333333336,Jace Talk: Train Signals & Collisions
54.054,80.51376666666667,Jace Talk: Agenda for video
80.54713333333333,162.72923333333333,"Jace Talk: DISCLAIMER: Information overload, don't panic"
162.7626,326.1591666666667,Train Collisions
162.7626,202.70250000000001,Jace Talk: Train Collisions & derailment
202.73586666666668,326.1591666666667,Jace Talk: Repairing de-railed Trains
326.19253333333336,870.0024666666667,Train Signals
326.19253333333336,345.71203333333335,Jace Talk: Train Signals
345.7454,651.3840666666666,Train Signal Types
355.3883666666667,468.53473333333335,Jace Talk: Block Signals
468.5681,587.4869,Jace Talk: Path Signals
587.5202666666667,629.5622666666667,Jace Talk: Epic Train staredown contest
629.5956333333334,651.3840666666666,Jace Talk: Path Signals can be chained
651.4174333333333,788.8547333333333,Additional Signal Information
659.8592,694.8608333333333,Jace Talk: Signals are actually directional
694.8942000000001,721.4207,Jace Talk: Signals can have error messages
721.4540666666667,788.8547333333333,Jace Talk: Signal feedback is somewhat kinda limited
788.8881,870.0024666666667,Q&A: Will intersecting tracks work with Signals?
870.0358333333334,998.3640333333334,UI Changes
876.5757,888.8212666666667,Jace Talk: Freight Station UI Changes
888.8546333333334,911.1102,Jace Talk: Train Timetable UI Changes
911.1435666666666,998.3640333333334,"Jace Talk: New ""Stop Settings"" feature"
998.3974000000001,1117.2161,Jace Talk: Correction on save files in Update 5
1117.2494666666666,1157.2561,Q&A: What happens if I load my save file and the Trains are colliding?
1157.2894666666666,,Outro
1157.2894666666666,1188.2537333333335,Jace Talk: Conclusion
1188.2871,1210.2757333333334,Jace Talk: Subscribe for more Satisfactory content
