,13.333333333333334,Intro
13.375,34.688486,Jace & Snutt Talk: Introductions
34.75,57.333333333333336,Jace & Snutt Talk: Golf
57.375,120.25,Snutt & Jace Talk: Wager on releasing Golf versus Dedicated Servers (Part 1)
120.29166666666667,222.20833333333334,Changes to the Build System
124.41666666666667,163.20833333333334,Jace Talk: Hard & Soft Clearance
163.25,185.29166666666666,Snutt Talk: Quick Switch Improvements
185.33333333333334,222.20833333333334,Zooping
185.33333333333334,200.29166666666666,Snutt & Jace Talk: Wager on releasing Golf versus Dedicated Servers (Part 2)
200.33333333333334,222.20833333333334,Snutt Talk: Zooping
222.25,262.75,Cosmetic Build Pieces
222.25,231.70833333333334,Snutt & Jace Talk: Wager on releasing Golf versus Dedicated Servers (Part 3)
231.75,262.75,Snutt & Jace Talk: More Cosmetic Build Pieces
262.7916666666667,382.7083333333333,The Customizer
262.7916666666667,269.8333333333333,Snutt & Jace Talk: Wager on releasing Golf versus Dedicated Servers (Part 4)
269.875,281.4166666666667,Jace & Snutt Talk: The Customizer
281.4583333333333,382.7083333333333,Snutty Mays & Juice Velvet Present: The Customizer™
292.875,305.7916666666667,Snutty Mays & Juice Velvet Talk: Introducing The Customizer™
305.8333333333333,323.1666666666667,Snutty Mays Talk: Customizer Build Menu
323.2083333333333,338.780872,Q&A: Can we just place the Build piece with the Material I wanted from the get-go?
338.8333333333333,359.555311,Q&A: What about Colors?
359.5833333333333,366.5,Q&A: Can we set the Colors to the Hot Bar too?
366.5416666666667,382.7083333333333,Snutty Mays Talk: Foundation Stencils
382.7916666666667,502.9583333333333,Changes to the Vehicles & Autopilot
382.7916666666667,403.0416666666667,Snutt & Jace Talk: Wager on releasing Golf versus Dedicated Servers (Part 5)
403.0833333333333,437.7916666666667,Snutt Talk: Huge Update to automated Vehicle pathing & surrounding systems
437.8333333333333,460.125,Jace Talk: Save & Load Vehicle Paths
440.494852,444.0833333333333,Snutt & Jace Talk: Wager on releasing Golf versus Dedicated Servers (Part 6)
460.1666666666667,474.8333333333333,Jace Talk: Truck Stations have gotten an Update
474.875,481.4117,Jace Talk: We've updated the Truck Station UI
481.4583333333333,502.9583333333333,Snutt Talk: You can Paint Vehicles now
500.5416666666667,606.7916666666666,"World Update: Northern Forest, Dune Desert, Caves"
500.5416666666667,551.5416666666666,Snutt & Jace Talk: Wager on releasing Golf versus Dedicated Servers (Part 7)
551.5833333333334,584.2916666666666,Snutt & Jace Talk: We've updated the Northern Forest
584.3333333333334,595.0416666666666,Jace Talk: Dune Desert is getting an Update
595.0833333333334,606.7916666666666,Jace Talk: We're updating some of the Caves
606.8333333333334,681.534533,You're Lost
606.8333333333334,644.4583333333334,Snutt & Jace Talk: No more Dora
644.5,681.534533,Snutt & Jace Talk: We're finally adding Signs to the game
681.5833333333334,783.125,Train Signals & Collisions
681.5833333333334,707.75,Snutt & Jace Talk: Wager on releasing Golf versus Dedicated Servers (Part 8)
707.7916666666666,764.0416666666666,Snutt & Jace Talk: Train Signals and Collisions
764.0833333333334,783.137801,Snutt Talk: An Update to Train Timetables
783.1666666666666,1045.875,"Wager on releasing Golf versus Dedicated Servers, the final hole"
783.1666666666666,911.7083333333334,Snutt & Jace Talk: Wager on releasing Golf versus Dedicated Servers (Part 9)
911.75,1018.3333333333334,Snutt & Jace Talk: Wager on releasing Golf versus Dedicated Servers (Part 10)
1018.375,1045.875,"Snutt & Jace Talk: Jace won, we get Dedicated Servers"
1045.9166666666667,,Outro
1045.9166666666667,1068.12962,Jace & Snutt Talk: There's a lot more coming to Update 5
1068.1666666666667,1079.875,Snutt & Jace Talk: Wager on releasing Golf versus Dedicated Servers (Part 11)
1090.889075,,End Tag
