,28.38,Intro
28.38,84.52,Q&A: How many people will be selected for the Alpha?
84.52,92.08,Q&A: But what if I still don't get an alpha key?
92.08,102.64,Q&A: How long will the Alpha last?
102.64,147.1,Q&A: What is the selection process going to be like?
147.1,196.48,Q&A: Will the Alpha be single-player or multiplayer?
196.48,233.42,Q&A: Will all the tech* be available in the alpha?
233.42,261.62,Q&A: Will there be an NDA?
261.62,292.16,Q&A: Localisation/Translation?
292.16,358.62,Q&A: Release Date?
358.62,432.78,Outro
432.78,,End Tag
