,191.06666666666666,Stream starting soon
191.06666666666666,271.997687,Intro
271.997687,278.693237,Q&A: What is wrong with your face?
278.693237,280.42817,Q&A: Pipes?
280.42817,354.60912,Q&A: Release date?
354.60912,371.76666666666665,Q&A: How much will Satisfactory cost?
371.76666666666665,378.135744,Q&A: Why is Jace the PR?
408.559369,418.865174,"Q&A: Jace & Hannah, do you go clothes shopping in the same place?"
418.8666666666667,487.869521,Q&A: How does the game look because I don't have an Alpha Key?
567.312526,585.24344,Q&A: Job Opportunities?
586.378155,622.648759,Q&A: Will there be PvE or PvP ?
622.6333333333333,663.567847,"Q&A: Is it Server Multiplayer, Dedicated Servers, or Peer to Peer?"
718.308644,808.471513,Q&A: What's the possibility of Dedicated Servers?
825.908452,912.113976,Q&A: Is there Story in the game?
912.113976,952.667535,Q&A: Is there an end-game/goal?
963.214202,979.016429,Q&A: Can we get your shirts in-game?
979.016429,1016.088881,Q&A: Terraforming?
1016.1,1052.477074,Q&A: Any plans for bots or other means of transport other than Belts & Trains?
1062.151666,1073.371446,Q&A: Plushies when & what's the story behind #blamesimon ?
1073.3666666666666,1125.56383,"Q&A: What resources do you use to help with level design, story writing & world building?"
1125.56383,1155.053199,Q&A: Top-down view?
1155.537962,1245.697874,Q&A: What system do you use to save maps?
1245.697874,1259.567788,Q&A: Will there be third-person view?
1259.5666666666666,1268.770686,Q&A: What happened to the Hadron Collider we saw in the UI video?
1268.770686,1276.953399,Q&A: Will there be underground/subterranean areas of the map?
1276.9666666666667,1307.57972,Q&A: What tools are you using?
1307.57972,1334.740485,Q&A: Will the move to Epic Store be timed-exclusive or permanent?
1334.740485,1399.146207,"Q&A: So if Mods are confirmed, how about Mods for creating Maps- will that happen?"
1398.110387,1429.840647,Q&A: Localisation support?
1429.8333333333333,1437.887831,Q&A: Any DLCs planned?
1437.887831,1449.6,Q&A: Can we have some gameplay?
1449.6,1458.2666666666667,Q&A: Hazards in the Map?
1458.2666666666667,1476.412324,"Jace, Hannah, & Snutt Talk: Alpha is not a scam"
1476.4,1489.634846,Q&A: Is that an Alpha Key around your neck?
1489.6333333333334,1494.42192,Q&A: Can you make custom cars/trucks?
1494.4333333333334,1548.122373,"Q&A: If I buy on Epic now and another platform later, will the save files be compatible?"
1550.571925,1573.58823,"Q&A: Are there going to be free updates after the game is released, or is it all going to be DLCs?"
1573.58823,1589.649941,Q&A: Any plans for PvP?
1589.6333333333334,1639.062223,Q&A: Why not turrets like Sanctum?
1639.0666666666666,1652.193414,Q&A: Is co-op style in line or are you focussed on solo?
1652.2,1663.964039,Q&A: What plugins are you using ?
1663.964039,1669.29091,Q&A: What happens when you die?
1669.29091,1687.97075,Q&A: Does the game use any lock step- any concern for desync across a large map?
1687.9666666666667,1705.396807,Q&A: What do you make your models/textures with?
1705.396807,1733.782029,Q&A: Player limit?
1733.7666666666667,1775.710975,Q&A: Is 4 players the recommended number?
1775.7,1786.241562,"Q&A: Can I play as Kristen Stewart, though?"
1786.2333333333333,1834.645233,Q&A: Are there any difficulty adjustments when playing Multiplayer?
1834.645233,1861.372808,Q&A: Will there be CO₂ emissions and will it effect the ecosystem?
1861.372808,1872.81796,Q&A: Will there be a Founder's pack with Alpha Access?
1872.81796,1925.453116,Q&A: Developer diaries?
1925.453116,1939.640283,Q&A: Are you in a cinema?
