,31.712972,Intro
31.712972,55.112001,Jace Talk: Opening up Localisation & changing Roadmap
55.112001,170.32,End of April Update features
69.676137,85.946572,Jace Talk: Conveyor Lifts
85.946572,96.095281,"Jace Talk: New resources, Quartz & Sulfur"
96.095281,109.183564,Jace Talk: We've added a Map & Radar Towers
109.18,131.402374,Jace Talk: New Vehicle
131.402374,142.269831,Jace Talk: Hand slot is now a toolbelt
142.269831,152.279617,"Jace Talk: We've added a thing called the ""Nobelisk Detonator"""
152.279617,162.126431,Jace Talk: We've added a Rifle
162.126431,170.318853,Jace Talk: Rifle Mk.2
170.318853,201.02,Outro
201.02,,End Tag
