,32.57420833333333,Intro
32.57420833333333,55.97258333333333,Jace & Snutt Talk: lolnope
55.97258333333333,67.81774999999999,Sightseeing (Part 1)
67.81774999999999,97.51408333333333,Jace Talk: Finding the most amazing pipes
97.51408333333333,118.57679166666667,Sightseeing (Part 2)
118.57679166666667,123.28983333333332,Snutt & Jace Talk: Jace climbs into an airplane engine
123.28983333333332,155.44695833333333,"Jace Talk: We're sleeping in a plane, but we won't be adding planes"
155.44695833333333,160.70220833333332,Sightseeing (Part 3)
160.70220833333332,176.63479166666664,Jace Talk: Jumbo Stay
176.63479166666664,184.759462,Sightseeing (Part 4)
184.759462,221.864578,Jace Talk: We're in an airport
221.864578,254.54595833333332,Jace Talk: Update to the Dune Desert
254.54595833333332,274.02375,Jace Talk: Searching for pipes in Geneva
274.02375,282.61566666666664,Sightseeing (Part 5)
282.61566666666664,321.02904166666667,Jace Talk: The AWESOME Sink
321.02904166666667,326.15916666666664,Sightseeing (Part 6)
326.15916666666664,348.88025,Jace Talk: On the Tram to CERN
348.88025,385.25987499999997,Jace Talk: Dedicated Servers
385.25987499999997,393.64324999999997,Jace Talk: We made it to home of Big Pipe
393.64324999999997,406.11404166666665,Sightseeing (Part 7)
406.11404166666665,438.14604166666663,Jace Talk: Save files after Update 3
438.14604166666663,453.4947083333333,Sightseeing (Part 8)
453.4947083333333,469.5107083333333,Jace Talk: Hyper Tubes
469.5107083333333,513.8466666666666,Sightseeing (Part 9)
513.8466666666666,523.138287,Jace Talk: Biiiiig Pipe
523.138287,538.7048333333333,Jace Talk: We're adding Pipes
538.7048333333333,553.5112916666666,Sightseeing (Part 10)
553.5112916666666,587.8789583333333,Outro
587.8789583333333,,Sightseeing (Part 11)
