,37.333333333333336,Intro
37.333333333333336,94.737738,Jace Talk: Multiple hotbars
94.737738,,Special Guest: Torsten Gunst
130.208023,158.391799,Q&A: Who is Torsten?
158.391799,232.364692,Q&A: What does Art Direction entail?
232.364692,310.635063,Torsten & Gunst Talk: Train Station redesign concept art
310.635063,339.523337,Jace Talk: The Art Team is not the bottleneck for new features
339.523337,391.581169,Torsten & Jace Talk: Showing off concept art
391.581169,426.157201,Q&A: Will the Train Station redesign be in the Steam Release?
426.157201,590.022878,Torsten & Jace Talk: New M.A.M. Concept Art
590.022878,611.642462,Jace Talk: My camera died
611.642462,724.268522,Torsten & Jace Talk: FICSIT Equipment polish
724.268522,,Outro
