,54.87547,Intro
235.960259,1092.0910000000001,VFX with Simon
54.88816666666667,96.964745,Simon & Jace Talk: Welcome to the video
96.964745,164.289825,Simon & Jace Talk: Simon being a meme
164.289825,235.960259,Simon & Jace Talk: Introducing Simon
235.96906666666666,425.240567,Simon & Jace Talk: VFX for Nobelisk explosion
425.240567,608.793576,Simon & Jace Talk: VFX for ambient effects
608.793576,697.5301666666667,Simon & Jace Talk: Different ambient effects for different Biomes
697.5301666666667,812.6118,Simon & Jace Talk: VFX for collectable items
711.0436666666667,726.1587666666667,Q&A: What does the Somersloop do?
812.6118,893.1589333333334,Simon & Jace Talk: VFX for Buildings (Part 1)
893.1589333333334,928.6944333333333,Simon & Jace Talk: Kristoffer
928.6944333333333,947.2796666666667,Simon & Jace Talk: VFX for Buildings (Part 2)
947.2796666666667,1092.0910000000001,Simon & Jace Talk: Modifying VFX
1092.0910000000001,1174.173,Outro
1174.173,,End Tag
