,26.760066666666667,Intro
26.760066666666667,70.83743333333334,Q&A: Is there any plans for any sort of flying vehicle?
70.83743333333334,142.50903333333335,Q&A: Would Dedicated Servers break the game?
142.50903333333335,211.4112,Q&A: Are you planning to release a Linux/Mac version?
211.4112,226.3261,Q&A: Will the Steam version of the game run on Linux? Either native or with Proton?
226.3261,288.288,"Q&A: Do you have a general idea of how, the team as a whole, want the game to be for 1.0?"
288.288,301.33436666666665,Q&A: Official Mod Support?
301.33436666666665,346.41273333333334,Q&A: Will there be Steam Cards and Achievements? Also do you intend to use Steam Workshop?
346.41273333333334,368.9352333333333,Q&A: Do you intend to use Steam Workshop in any way?
368.9352333333333,374.5742,Q&A: Will there be a sale when it first releases on Steam?
374.5742,397.43036666666666,Q&A: Will there be weather changes?
397.43036666666666,406.77303333333333,Q&A: If I bought the game on Epic will I get a Steam key when it releases?
406.77303333333333,461.22743333333335,"Q&A: Multiplayer has quality-of-life issues, are you going to fix them?"
461.22743333333335,677.4434333333334,Q&A: Why did you sign an exclusivity deal with Epic?
677.4434333333334,733.1324,Q&A: Please tell us a story about your biggest night out together?
733.1324,779.1784,Q&A: Will we get more than one body slot?
779.1784,807.1730333333334,"Q&A: In the finished game, will the Story of the game impact how you play?"
807.1730333333334,849.9491,Q&A: When is the S.A.M. Ore becoming useful in-game?
849.9491,867.3998666666666,Q&A: Do you plan on introducing more ways of transportation?
867.3998666666666,917.1162,"Q&A: While lights are not currently in the game, would it be an option for it to always be daytime?"
917.1162,957.1562,Q&A: Will new buildings be added into the game?
957.1562,987.6199666666666,Q&A: Any 3rd person toggle planned?
987.6199666666666,994.1932,Q&A: Customisation of our characters?
994.1932,995.8949,Q&A: Didn't you quit?
995.8949,1008.3073,Q&A: Do you have any rough expectation of when the full release of the game will be?
1008.3073,1019.9856333333333,Q&A: Will we ever be able to leave this planet?
1019.9856333333333,1034.8338,Q&A: Any chance of a holster keybind so we can lower our hand slot when not in use?
1034.8338,1062.2612,"Q&A: What is one item or equipment that some of the staff have wanted, but got canned for balancing?"
1062.2612,1092.6582333333333,Q&A: Might we see more megafauna? The Dune Desert is missing something.
1092.6582333333333,1129.8620666666666,Q&A: Any plans to introduce a less... destructive power generation before coal?
1129.8620666666666,1134.9004333333335,Community FYI: I love u
1134.9004333333335,1164.4633000000001,Q&A: What did Simon really say about the sloops???
1164.4633000000001,1176.7088666666666,Q&A: Will there be a farming system with seeds and stuff so we can plant our own fruits?
1176.7088666666666,1213.6124,Q&A: What are your thoughts regarding replayability?
1213.6124,1227.0591666666667,Q&A: In a far and glorious future will we have other maps?
1227.0591666666667,1235.4342,Q&A: Is proper rail signalling in the works for the future?
1235.4342,1298.170291,Q&A: Lights when?
1298.170291,1345.0437,Outro
1345.0437,,End Tag
