,14.199802,Intro
14.199802,26.81167,Snutt Talk: Merch launch on For Fans By Fans
26.81167,127.36666666666666,Snutt Talk: Update 4 & Dedicated Servers
38.2,72.3,Q&A: When will Update 4 be coming out?
72.3,102.46666666666667,Snutt Talk: Fluids Update
102.46666666666667,127.36666666666666,Snutt Talk: Dedicated Servers
127.36666666666666,249.6,Snutt Talk: Merch
136.4,145.46666666666667,Q&A: Where's the mug?
145.46666666666667,159.96666666666667,Q&A: Why is shipping so expensive (outside of the US)?
159.96666666666667,162.96666666666667,Q&A: Did Coffee Stain become sellouts?
162.96666666666667,249.6,Q&A: Are there any more designs coming?
249.6,268.5,Outro
268.5,,End Tag
