,12.72,Intro
12.72,57,Q&A: Who is Birk?
57,118,Birk Talk: Changes in development focus
118,132.32,Birk Talk: Core content updates
132.32,151.88,Birk Talk: Ongoing content
151.88,170.96,Birk Talk: Story
170.96,210.48,Birk Talk: Technical Content
210.48,250.84,Birk Talk: Update 4
250.84,277.08,Birk Talk: Updates after Update 4 and before 1.0
277.08,427.68,Birk Talk: Changes left in 2020
293.044904,355.282823,Birk Talk: Rework of Conveyor networking
355.282823,425.36,Birk Talk: Engine Upgrade
427.68,,Outro
