,65.79906666666666,Intro
65.79906666666666,154.401842,Q&A: Why do we upgrade the engine?
154.401842,217.75086666666667,Jace Talk: When there's a new feature in an engine doesn't mean you can use it
217.75086666666667,269.13553333333334,Jace Talk: Packet Reordering
269.13553333333334,296.0958,Jace Talk: Improved I/O Speeds
296.0958,364.09706666666665,Jace Talk: UProperty refactored to be FProperty
364.09706666666665,551.0838666666667,Jace Talk: Per-instance Custom Data
551.0838666666667,584.3170666666667,Q&A: Does this mean we will lose the color palette / preset functionality?
584.3170666666667,607.2066,Jace Talk: Improvements to Glass Shaders
607.2066,644.796035,Jace Talk: Screen Space Global Illumination
644.796035,691.9245666666667,Jace Talk: Sky and Atmosphere System
691.9245666666667,,Outro
