,16.583233333333332,Intro
16.583233333333332,83.81706666666666,Q&A: How likely will it be that our saves break in updates after Update 4?
83.81706666666666,148.11463333333333,Q&A: Are Tiers 8-10 anywhere near accurate on the Satisfactory Wiki?
148.11463333333333,192.3922,Q&A: Will FICS⁕MAS and seasonal events in general be a regular thing?
192.3922,201.23436666666666,Q&A: Will we get signs any time soon?
201.23436666666666,203.1029,Q&A: How are you?
203.1029,229.86296666666667,Q&A: Are there going to be more types of foundation shapes?
229.86296666666667,254.92133333333334,Q&A: Will Trains be getting any updates? Signals? Collision?
254.92133333333334,325.4251,Q&A: How does the current trajectory to the game compare to everyone's original concept?
325.4251,379.5124666666667,Q&A: Will we keep our FICS⁕MAS stuff after the event ends?
379.5124666666667,450.7169333333333,Q&A: How proud are you of the code you wrote and systems you helped make in Satisfactory?
450.7169333333333,464.29716666666667,Q&A: What does a day in the life of a community manager Jace look like?
464.29716666666667,484.58410000000003,Q&A: How are you planning to balance optimisation vs. new tiers/features in the future?
492.75893333333335,527.1933333333334,Q&A: Is player fatigue a concern for you? Do you see people drop off at certain points in the game?
527.1933333333334,534.1002333333333,Q&A: Can we paint vehicles?
534.1002333333333,564.9644,Q&A: Where did the idea of Satisfactory come from?
564.9644,585.4515333333334,Q&A: Can we replace walls without having to delete them?
585.4515333333334,615.0477666666667,Q&A: Is there a plan for Nuclear Waste? Besides being used as Lizard Doggo treats.
615.0477666666667,664.8642,"Q&A: Are there any other plans for vehicles? Amphibious, air?"
664.8642,675.5415333333333,Q&A: Any plans on giant boss enemies and giant mech suits to fight them in?
675.5415333333333,706.3389666666667,Q&A: Will combat be expanded upon? More enemies?
706.3389666666667,728.4610666666666,Q&A: Are there plans for mass building foundation and walls?
728.4610666666666,735.8351,Q&A: Are you a woman trapped in a man's body?
735.8351,756.4890666666666,Q&A: Is there a reason why we cannot package Sulfuric Acid?
756.4890666666666,764.764,Q&A: Jace will there be lights‽
764.764,791.4573333333334,"Q&A: If you were a Satisfactory building, what building would you be?"
791.4573333333334,808.0739333333333,Q&A: Is Simon okay?
808.0739333333333,844.2767666666667,Q&A: Why don't my computer screens in my hub show me power consumption or total production?
844.2767666666667,875.7081666666667,Q&A: Are farms going to be a thing?
875.7081666666667,911.9110000000001,Q&A: Will there ever be 3rd person?
911.9110000000001,928.7611666666667,Q&A: Character customization?
928.7611666666667,979.7454333333334,"Q&A: Names in photo mode, when?"
979.7454333333334,1005.5712333333333,Q&A: Any thoughts on adding drones to the game?
1005.5712333333333,1026.3920333333333,Q&A: Do you miss Australia
1026.3920333333333,1036.5688666666667,Q&A: New biomes?
1036.5688666666667,1076.5421333333334,Q&A: Do you enjoying working from home or are you looking forward to getting back in the office?
1076.5421333333334,1078.9779,Q&A: Will S.A.M. Ore ever be useful?
1078.9779,1094.8270666666667,Q&A: How do you have your coffee and/or tea?
1094.8270666666667,1151.6505,Q&A: Do you look at the mods and think there are features you'd like to include in the full game?
1151.6505,1208.0401666666667,Q&A: Dedicated Server status report!
1208.0401666666667,1266.3651,Q&A: Do you plan to add copy & paste functionality / blueprints?
1266.3651,1375.9412333333335,Q&A: Has the decision to press on to 1.0 recently been prompted - at least in part - by financials?
1375.9412333333335,1497.9965,Outro
1497.9965,,End Tag
