,21.588233333333335,Intro
21.588233333333335,83.45003333333334,Jace Talk: Recapping stuff revealed on twitch streams
83.45003333333334,131.86506666666668,Q&A: When is Update 5 coming?
131.86506666666668,200.86733333333333,Jace Talk: Build Modes in Update 5
200.86733333333333,248.61503333333334,Jace Talk: Train Updates
248.61503333333334,291.32436666666666,Q&A: Will we have Signs?
291.32436666666666,352.5522,Jace Talk: Game Modes
352.5522,434.4673666666667,Jace Talk: World Update
434.4673666666667,492.492,Jace Talk: Dedicated Servers
492.492,543.543,Jace Talk: Merch Updates & EU Store
543.543,,Outro
