,54.621233333333336,Intro
24.051364,54.621233333333336,Jace Talk: We're hiring for a Generalist Game Designer
54.6546,518.4179,10 Build System changes coming in Update 5
54.6546,80.08,Jace Talk: Ramp snapping improvements
80.11336666666666,149.5494,Jace Talk: Zooping
149.58276666666666,173.49957,Jace Talk: More freedom with Stairs
173.54003333333333,218.9187,Jace Talk: Snap walkways to Buildings
218.95206666666667,252.51893333333334,Jace Talk: Build Pillars down from Train Lines
252.5523,286.15253333333334,Jace Talk: Additional Rotations for Foundatings that are Snapping
286.1859,341.30763333333334,Jace Talk: Changes to Snapping of Buildings
341.341,369.8695,Jace Talk: Conveyor Belts & Pipes can snap to their own Poles
369.9028666666667,396.86313333333334,Jace Talk: You can now modify Hologram colours to your liking
396.8965,496.86303333333336,"Jace Talk: Hard & Soft Clearance, some Buildings now have Complex Clearance"
496.8964,518.4179,Jace Talk: List of Buildings with Complex Clearance
518.4512666666667,,Outro
