,633.7,Stream Starting Soon
633.7333333333333,2182.294171,Intro
652.347712,661.434899,Snutt & Jace Talk: Bisexual Finger Guns (Part 1)
661.4666666666667,786.0333333333333,Snutt & Jace Talk: Streaming from the new office for the first time
786.0666666666667,805.495442,Q&A: Covid situation in Sweden?
805.5333333333333,844.62595,Snutt & Jace Talk: Showing off the current office streaming setup
844.6666666666666,910.436053,Snutt & Jace Talk: Countdown to Update 5 (Part 1)
910.4666666666667,968.688077,Snutt & Jace Talk: Update 5 Patch Notes Video
968.7333333333333,1249.4666666666667,Coffee Stainer Talk: Golf (Part 1)
1249.51403,1305,Snutt & Jace Talk: Countdown to Update 5 (Part 2)
1305.0333333333333,1362.294154,Q&A: Do you have to know Swedish to work in Sweden?
1362.3333333333333,1402.7333333333333,Q&A: Bingo Card?
1402.7666666666667,1406.3333333333333,Q&A: Is Sweden basically a bilingual country?
1406.3666666666666,1426.840284,Q&A: Is Coffee Stain still 20% Dutch?
1426.8666666666666,1587.914625,Snutt & Jace Talk: Satisfactory running on Steam Deck (Part 1)
1587.9333333333334,1654.628403,Coffee Stainer Talk: Golf (Part 2)
1654.6666666666667,1713.964802,Snutt & Jace Talk: Satisfactory running on Steam Deck (Part 2)
1714,1720.69791,Community FYI: We crashed the website
1720.7333333333333,1803.9666666666667,Snutt & Jace Talk: Can't respond to every single comment
1803.999661,1873.0666666666666,Q&A: VR?
1873.1,2083.733333333333,Q&A: Dedicated Servers?
2083.766666666667,2182.294171,Coffee Stainer Talk: Golf (Part 3)
2182.3333333333335,2354.2,Waiting for Special Guests to arrive
2218.8,2330.596387,Snutt & Jace Talk: New office is still being renovated
2330.633333333333,2337.30185,"Q&A: Can you dim the lights, it's a bit too bright?"
2354.233333333333,2479.1,BRB
2479.133333333333,4321.709195,Special Guest: Tobias
2482.457017,2592.81387,"Tobias, Snutt, and Jace Talk: What Tobias has worked on in Update 5"
2592.8333333333335,4184.532808,Community Highlights
2622.377547,2689.133333333333,Coffee Stainer Talk: Golf (Part 4)
