,34.200833333333335,Intro
34.2342,61.59486666666667,Q&A: Did you just add a Dedicated Server model to the game?
61.628233333333334,88.92216666666667,Jace Talk: Dedicated Servers are super experimental
88.95553333333334,140.67386666666667,Jace Talk: We would appreciate your feedback on the Dedicated Servers
140.70723333333333,196.0959,Q&A: Where can I get the Dedicated Servers?
196.12926666666667,206.1059,Q&A: What operating systems do you support?
206.13926666666666,207.87433333333334,Q&A: Are the Servers headless?
207.9077,273.13953333333336,Q&A: How do you set up the Servers?
273.1729,382.44873333333334,Q&A: What Features are available?
382.4821,433.36626666666666,Q&A: How many people can fit on one Server?
433.3996333333333,447.1800666666667,Q&A: Are Coffee Stain hosting any official Dedicated Servers?
447.21343333333334,490.72356666666667,Q&A: Has Coffee Stain partnered with any external vendors?
490.75693333333334,966.5989666666667,Setting up a Dedicated Server
490.75693333333334,517.1833333333334,Jace Talk: Setting up a Server
517.2167000000001,557.020737,Jace Talk: How to find Satisfactory Dedicated Server in Steam
557.0565,613.9466666666667,Jace Talk: Launching a Dedicated Server
613.9800333333334,721.7877333333333,Jace Talk: Connecting Satisfactory to the Dedicated Server
721.8211,800.2995,Jace Talk: Starting a new game on a Dedicated Server
800.3328666666666,822.1546666666667,Jace Talk: Administrator permissions
822.1880333333334,900.312509,Jace Talk: Joining the newly-created game
900.3327666666667,,Jace Talk: Dedicated Server Save Games
966.6323333333333,,Outro
