,19.32848,Intro
19.32848,95.16173333333333,Jace Talk: Merch
95.1951,102.8027,Jace Talk: Bugfixes
102.83606666666667,149.38256666666666,Jace Talk: Preamble to 6 things we're NEVER adding to Satisfactory
149.41593333333333,264.33073333333334,Jace Talk: No Base Defence
264.3641,356.5228333333333,Jace Talk: No Factory Maintenance
356.5562,428.7950333333333,Jace Talk: No Survival Elements
428.86176666666665,642.1415000000001,Jace Talk: Intermission to 6 things we're NEVER adding to Satisfactory
642.1748666666667,656.577536,Jace Talk: Preamble to the last 3 of 6 things we're NEVER adding to Satisfactory
656.577536,862.4616,Jace Talk: No Green Energy
862.4949666666666,945.3777666666667,Jace Talk: Terraforming
945.4111333333334,1063.8628,Jace Talk: No Golf
1063.8961666666667,1123.1887333333334,Outro
1123.2221,,End Tag
