,96.46303333333333,Intro
96.49640000000001,257.8242333333333,General Tools
103.93716666666667,133.5334,Jace Talk: Unreal Engine 4 (Part 1)
133.56676666666667,153.72023333333334,Jace Talk: Google
153.7536,176.4763,Jace Talk: Perforce
176.50966666666667,183.41656666666668,Jace Talk: Unreal Game Sync
183.44993333333335,224.4242,Jace Talk: Microsoft 365 (Part 1)
224.45756666666668,232.89933333333335,Jace Talk: Monday.com (Part 1)
232.9327,245.47856666666667,Jace Talk: Wireguard
245.51193333333333,257.8242333333333,"Jace Talk: Steam, Epic, Humble"
257.8576,2382.113066666667,Disciplines
261.261,419.25216666666665,Programmers
264.5643,308.6750333333333,Jace Talk: Unreal Engine 4 (Part 2)
275.8756,308.6750333333333,Q&A: Do your programs use C++ or Blueprints?
308.7084,355.82213333333334,Jace Talk: Visual Studio / Rider (Part 1)
355.8555,396.06233333333336,Jace Talk: Beyond Compare
396.0957,419.25216666666665,Jace Talk: Notepad / Notepad++
419.2855333333333,627.7271000000001,3D Art
421.3209,449.98286666666667,Jace Talk: Blender (Part 1)
450.01623333333333,462.3619,Jace Talk: Substance Designer (Part 1)
462.39526666666666,479.0786,Jace Talk: Substance Painter (Part 1)
479.11196666666666,519.8860333333333,Jace Talk: Adobe Photoshop (Part 1)
519.9194,556.1556,Jace Talk: Marmoset Toolbag 3
556.1889666666667,562.4952666666667,Jace Talk: xNormal
562.5286333333333,586.9530333333333,Jace Talk: ZBrush
586.9864,604.4371666666667,Jace Talk: Autodesk Maya (Part 1)
604.4705333333334,627.7271000000001,Jace Talk: PureRef
627.7604666666667,674.5405333333333,2D Art
630.1295,644.644,Jace Talk: Adobe Photoshop (Part 2)
644.6773666666667,657.5902666666667,Jace Talk: ProCreate
657.6236333333334,674.5405333333333,Jace Talk: Unreal Engine 4 (Part 3)
674.5739,874.1065666666667,UI/UX
674.5739,692.0246666666667,Jace Talk: What UI/UX means
692.0580333333334,771.2705,Jace Talk: Adobe Illustrator
771.3038666666666,792.8253666666667,Jace Talk: Adobe Photoshop (Part 3)
792.8587333333334,839.9724666666667,Jace Talk: Unreal Engine 4 (Part 4)
840.0058333333334,864.4302333333334,Jace Talk: Microsoft Visio / yED (Part 1)
864.4636,874.1065666666667,Jace Talk: Hardware (Part 1)
874.1399333333334,918.0171,Animation
876.4756,918.0171,Jace Talk: Autodesk Maya (Part 2)
918.0504666666667,1006.6389666666666,VFX
924.2566666666667,956.7558,Jace Talk: Houdini (Part 1)
956.7891666666667,973.0721,Jace Talk: Blender (Part 2)
973.1054666666666,988.4207666666667,Jace Talk: Unreal Engine 4 (Part 5)
988.4541333333334,1000.1324666666667,Jace Talk: Substance Designer (Part 2)
1000.1658333333334,1006.6389666666666,Jace Talk: Adobe Photoshop (Part 4)
1006.6723333333333,1205.0705333333333,Tech Art
1023.7894333333334,1043.3089333333332,Jace Talk: Visual Studio / Rider (Part 2)
1043.3423,1110.4093,Jace Talk: Houdini (Part 2)
1110.4426666666666,1129.7286,Jace Talk: Python (Part 1)
1129.7619666666667,1168.7008666666668,Jace Talk: Blender (Part 3)
1168.7342333333333,1177.4763,Jace Talk: Adobe Photoshop (Part 5)
1177.5096666666666,1200.6661333333334,Jace Talk: Substance Designer (Part 3)
1200.6995,1205.0705333333333,Jace Talk: Substance Painter (Part 2)
1205.1039,1303.6690333333333,Sound Design
1207.0725333333335,1230.1289,Jace Talk: Wwise
1230.1622666666667,1249.2146333333333,Jace Talk: Reaper
1249.248,1272.4712,Jace Talk: Vital
1272.5045666666667,1303.6690333333333,Jace Talk: Hardware (Part 2)
1303.7024000000001,1409.6749333333335,Producers
1315.8145,1347.9799666666668,Jace Talk: Microsoft 365 (Part 2)
1348.0133333333333,1372.5044666666668,Jace Talk: GSuite
1372.5378333333333,1383.3152666666667,Jace Talk: Slack
1383.3486333333333,1409.6749333333335,Jace Talk: Monday.com (Part 2)
1409.7083,1596.5616333333335,Game Design
1411.7436666666667,1462.6612,Jace Talk: Unreal Engine 4 (Part 6)
1462.6945666666668,1493.5587333333333,Jace Talk: Microsoft Excel (Part 1)
1493.5921,1518.517,Jace Talk: Microsoft Word (Part 1)
1518.5503666666666,1542.9080333333334,Jace Talk: Microsoft PowerPoint
1542.9414,1554.8866666666668,Jace Talk: Adobe Photoshop (Part 6)
1554.9200333333333,1572.9714000000001,Jace Talk: Microsoft Paint (Part 1)
1573.0047666666667,1586.2847,Jace Talk: Microsoft Visio (Part 2)
1586.3180666666667,1596.5616333333335,Jace Talk: Hardware (Part 3)
1596.595,1744.3426,World Design
1599.2977,1622.1872333333333,Jace Talk: Unreal Engine 4 (Part 7)
1622.2206,1653.6186333333333,Jace Talk: Microsoft Word / Microsoft PowerPoint (Part 2)
1653.652,1682.9813,Jace Talk: Microsoft Excel (Part 2)
1683.0146666666667,1699.8982,Jace Talk: Google Earth
1699.9315666666666,1744.3426,Jace Talk: Adobe Photoshop (Part 7)
1744.3759666666667,1959.7244333333333,Localisation
1747.2455,1772.7042666666666,Jace Talk: Unreal Engine 4 (Part 8)
1772.7376333333334,1794.7930000000001,Jace Talk: Crowdin
1794.8263666666667,1852.7175333333334,Jace Talk: Python (Part 2)
1852.7509,1866.3978666666667,Jace Talk: Visual Studio Code
1866.4312333333335,1896.3277666666668,Jace Talk: Google Sheets
1896.3611333333333,1925.1232,Jace Talk: Discord
1925.1565666666668,1959.7244333333333,Jace Talk: Don't mention Google Translate
1959.7578,2174.3388333333332,IT
1976.6079666666667,2013.5782333333334,Jace Talk: PowerShell
2013.6116,2041.6729666666668,Jace Talk: Python (Part 3)
2041.7063333333333,2092.1233666666667,Jace Talk: Jenkins
2092.1567333333332,2120.2514666666666,Jace Talk: Google Cloud Platform
2120.284833333333,2151.2824666666666,Jace Talk: Incredibuild
2151.3158333333336,2174.3388333333332,Jace Talk: IT rabbit hole
2174.3722000000002,2357.7554,Community Management
2178.176,2202.0331666666666,Jace Talk: Social Media
2202.066533333333,2206.2373666666667,Jace Talk: Microsoft Word (Part 3)
2206.2707333333333,2225.7235,Jace Talk: Adobe Premiere Pro
2225.7568666666666,2249.0468,Jace Talk: Adobe After Effects
2249.0801666666666,2258.7898666666665,Jace Talk: Adobe Photoshop (Part 8)
2258.8232333333335,2270.7017666666666,Jace Talk: Microsoft Paint (Part 2)
2270.7351333333336,2280.0778,Jace Talk: Audacity / Sonar / Adobe Audition
2280.1111666666666,2287.6520333333333,Jace Talk: ShadowPlay
2287.6854,2299.9643333333333,Jace Talk: OBS Studio
2299.9977,2303.9016,Jace Talk: Stream Elements
2303.9349666666667,2318.1825333333336,Jace Talk: Restream
2318.2159,2328.959966666667,Jace Talk: Google Slides
2328.9933333333333,2357.7554,Jace Talk: Stream Ass-istant
2357.7887666666666,2382.113066666667,CEO
2361.5592,2382.113066666667,Q&A: What tools does the CEO use?
2382.1464333333333,,Outro
2390.2879000000003,2458.3225333333335,Jace Talk: Thanks to my coworkers
