,70.23683333333334,Intro
26.552238,70.23683333333334,Snutt's video assistant
70.2702,143.47666666666666,Game Jams
70.2702,107.54076666666667,Snutt & Stefan Talk: Satisfactory started in a game jam
107.57413333333334,143.47666666666666,Snutt & Stefan Talk: Goat Simulator also started in a game jam
143.51003333333333,2285.6500333333333,Sprints
143.51003333333333,247.01343333333332,Sprint 1
143.51003333333333,223.112196,Snutt & Stefan Talk: Sprint 1
223.15626666666668,247.01343333333332,Stefan Talk: This is what a team of 16 people could do in 2 weeks
247.0468,295.96233333333333,Snutt & Stefan Talk: Sprint 2
295.9957,544.4439,Sprint 3
295.9957,322.08843333333334,Snutt & Stefan Talk: Sprint 3
322.1218,377.621266,Snutt & Stefan Talk: Build Menu in Sprint 3
377.64393333333334,409.84276666666665,Snutt & Stefan Talk: Wind Power in Sprint 3
409.8761333333333,477.3101666666667,Snutt & Stefan Talk: Assembly lines in Sprint 3
477.34353333333337,494.5273666666667,Snutt & Stefan Talk: Daisy-chained power in Sprint 3
494.56073333333336,544.4439,Snutt & Stefan Talk: The core gameplay loop in Sprint 3
544.4772666666667,1064.6302333333333,Sprint 6
544.4772666666667,586.3524333333334,Snutt & Stefan Talk: Sprint 6
586.3858,663.950534,Snutt & Stefan Talk: Procedural generation in Sprint 6
663.9966666666667,691.691,Snutt & Stefan Talk: Creatures in Sprint 6
691.7243666666667,782.1146666666667,Snutt & Stefan Talk: Work Bench
782.1480333333334,1062.275948,Snutt & Stefan Talk: Mining Resources & Crafting in Sprint 6
1064.6636,1216.0148,Sprint 8
1064.6636,1085.823997,Snutt Talk: User Interface in Sprint 8
1085.8514333333333,1147.4796666666666,Snutt & Stefan Talk: Equipment in Sprint 8
1147.5130333333334,1180.179,Snutt & Stefan Talk: Environment in Sprint 8
1180.2123666666666,1212.6114,Snutt & Stefan Talk: Finite Resources in Sprint 8
1216.0481666666667,1441.2398,Sprint 12
1216.0481666666667,1247.6797666666666,Snutt & Stefan Talk: Vehicles in Sprint 12
1247.7131333333334,1277.4094666666667,Snutt & Stefan Talk: Resource Scanner in Sprint 12
1277.4428333333333,1315.775938,Snutt & Stefan Talk: The HUB in Sprint 12
1315.8145,1405.5708333333334,Snutt & Stefan Talk: Progression in Sprint 12
1405.6042,1441.2398,Snutt & Stefan Talk: Portable Miner in Sprint 12
1441.2731666666666,1741.5064333333335,Sprint 20
1441.2731666666666,1497.8296666666668,Snutt & Stefan Talk: Third-person View in Sprint 20
1497.8630333333333,1600.1652333333334,Snutt & Stefan Talk: Trading Post in Sprint 20
1600.1986,1614.1458666666667,Snutt & Stefan Talk: Tractor in Sprint 20
1614.1792333333333,1673.3383333333334,Snutt & Stefan Talk: Building changes in Sprint 20
1673.3717,1717.5491666666667,Snutt & Stefan Talk: Quality of Life changes & the User Experience?
1717.5825333333335,1741.5064333333335,Snutt & Stefan Talk: Trophies in Sprint 20
1741.5398,1978.7434333333333,Sprint 23
1741.5398,1770.4353333333333,Snutt & Stefan Talk: Main Menu in Sprint 23
1770.4687000000001,1810.3752333333334,Snutt & Stefan Talk: User Interface changes in Sprint 23
1810.4086,1832.6975333333335,Snutt Talk: Stamina Bar in Sprint 23
1832.7309,1904.903,Snutt & Stefan Talk: Summary of changes in Sprint 23
1904.9363666666668,1969.1338333333333,Snutt & Stefan Talk: Trains in Sprint 23
1969.1672,1978.7434333333333,Snutt Talk: Truck Stations in Sprint 23
1978.7768,2285.6500333333333,Sprint 26
1978.7768,2012.9109,Snutt & Stefan Talk: User Interface & Graphics changes in Sprint 26
2012.9442666666666,2035.7337,Snutt & Stefan Talk: Resource Scanner in Sprint 26
2035.7670666666668,2046.4444,Snutt & Stefan Talk: Areas looking familiar between Sprint 26 and contemporary Satisfactory
2046.4777666666666,2143.4413,Snutt & Stefan Talk: Resource nodes & Crafting in Sprint 26
2143.4746666666665,2157.8223333333335,Snutt Talk: Mining mini-game
2157.8557,2169.8009666666667,Snutt Talk: Third-person View toggle in Sprint 26
2169.8343333333332,2195.2597333333333,Snutt & Stefan Talk: Tech Onion in Sprint 26
2195.2931,2244.609033333333,Snutt & Stefan Talk: Production lines in Sprint 26
2244.6424,2285.6500333333333,Snutt & Jace Talk: Decor in Sprint 26
2285.6834,,Outro
2285.6834,2357.0547,Snutt & Stefan Talk: The speed of development over time during the early Sprints
2357.0880666666667,,Snutt & Stefan Talk: Signing off the video
