,62.02863333333333,Intro
62.062,203.683332,Snutt Talk: Why Update 6 is going to be different
203.7035,257.0568,Snutt Talk: What Update 6 is going to be about
257.0901666666667,375.6419333333333,Exploration
257.0901666666667,304.03706666666665,Q&A: What does improving the exploration aspect of Satisfactory mean?
304.0704333333333,375.6419333333333,Environmental Changes
304.066267,348.41473333333334,Snutt Talk: Environmental Changes
348.4481,363.59656666666666,Snutt Talk: Ben's water changes
363.6299333333333,375.6419333333333,Snutt Talk: The sky sphere & Swamp Biome
375.6753,404.5708333333333,Creatures
375.6753,404.5708333333333,Snutt Talk: Let's talk about the Creatures
404.6042,434.80103333333335,Equipment Additions
404.6042,413.2128,Snutt Talk: Adding new mechanics to some of the weapons
413.2461666666667,434.80103333333335,Snutt Talk: Multiple Body Slots
434.8344,449.78266666666667,In-Game Map Improvements
434.8344,446.61283333333336,Snutt Talk: Improving how you interact with the in-game Map
446.6462,449.78266666666667,Snutt Talk: Radar Tower improvements
449.81603333333334,477.2434333333333,Technical Improvements
449.81603333333334,464.880566,Snutt Talk: Technical Improvements
464.89776666666666,471.1039666666667,Snutt Talk: Reworking the foliage system
471.697608,477.2434333333333,Snutt Talk: Miscellaneous improvements
477.2768,644.3437,(Clock Speed Rebalance)
480.204014,497.6304666666667,Snutt Talk: Clock Speed Rebalance
497.66383333333334,560.6934666666667,Snutt Talk: Overclocking & Underclocking explainer
560.7268333333334,606.8729333333333,Snutt Talk: The proposed change to Overclocking & Underclocking
606.9063,623.7898333333334,Snutt Talk: Soliciting Community feedback on the proposed change
623.939171,644.3437,Snutt Talk: Not planning to make changes to clocking of generators & extractors
644.3770666666667,,Outro
644.3770666666667,677.3433333333334,Snutt Talk: Still a lot of things to show & discuss
677.3767,734.9008333333334,Q&A: When is the Satisfactory Update 6 release date?
734.9342,768.3008666666667,Snutt Talk: Wrapping up the video
768.3342333333334,,End Tag
