,44.91153333333333,Intro
0,8.7087,Audio / Video / Audience
8.742066666666666,44.91658,"Don't worry, I'll wait"
44.944900000000004,,Spire Coast changes
44.944900000000004,73.8738,Update 5 World Update Roadmap
73.90716666666667,117.28383333333333,Resource nodes being moved
117.3172,170.60376666666667,Resource nodes & Power Slugs
170.63713333333334,402.961,Before & After
170.648442,183.04953333333333,Preamble
183.0829,200.13326666666666,Open section of shallow water
200.16663333333332,207.47393333333335,Outter edges
207.50730000000001,214.84796666666668,Atmospheric lighting
214.88133333333334,234.80123333333333,Waterfalls are all placeholders
234.8346,259.52593333333334,Community response to waterfalls
259.5593,370.70366666666666,Transitional spaces
259.5593,303.73676666666665,Spire Coast / Dune Desert
303.7701333333333,357.6573,Spire Coast / Great Canyon
357.6906666666667,370.70366666666666,Desert Canyons
370.73703333333333,,Outro
