,56.38966666666667,Intro
0,9.442766666666667,Cold Open
9.476133333333333,56.38966666666667,Introducing the topic of the video
56.423033333333336,779.5788,"Let's jump into the game, shall we?"
56.423033333333336,507.57373333333334,Map Changes
56.423033333333336,142.07526666666666,Introducing the Map changes
142.10863333333333,187.187,Beacon Changes
142.10863333333333,187.193228,Doing away with Beacons
187.22036666666668,455.92213333333336,Markers & Stamps
187.22036666666668,254.254,Marker Customisation
254.28736666666668,282.0818,Stamps
282.11516666666665,349.4157333333333,Placing Stamps on the Map & in real-time
349.4491,361.4277333333333,Differences in Markers & Stamps (Part 1)
361.4611,414.74766666666665,Highlighting Markers & Stamps
414.78103333333337,439.20543333333336,Differences in Markers & Stamps (Part 2)
439.2388,455.92213333333336,Available Markers and Stamps
455.95550000000003,507.57373333333334,New Map Menu
507.6071,708.4077,Radar Tower Changes
507.6071,601.2339666666667,Radar Towers in Update 5 vs. Update 6
601.2673333333333,660.2262333333333,Radar Towers now reveal Resources
660.2596,684.2168666666666,Example of using Radar Tower changes to plan a gameplay session
684.2502333333333,708.4077,"Changes are focussed on the Update 6 ""Exploration"" theme"
708.4410666666666,779.5788,Resource Scanner Changes
708.4410666666666,779.5788,Changes to the Resource Scanner compass Marker
779.6121666666667,,Outro
779.6121666666667,815.5147000000001,Justifying the changes + possible changes to come
815.5480666666667,833.7329,Signing off the video
833.7662666666666,,End Tag
