,50.71666666666667,Intro
0,50.71666666666667,Introducing the topic of the video
50.733333333333334,897.6166666666667,Core changes to Equipment
60.733333333333334,193.31965,Beacons
193.31965,266.9166666666667,Multiple Body Slots
266.93333333333334,276.681512,Equipment HUD
276.7,303.6166666666667,Holstering Equipment
303.6333333333333,807.2166666666667,Ammo Types
303.6333333333333,338.06666666666666,New Ammo Types
338.0833333333333,363.53333333333336,Ammo Switching
363.55,479.55,Rebar Gun
363.55,372.8666666666667,Iron Rebar
372.8833333333333,400.461887,Stun Rebar
400.48333333333335,454.51666666666665,Shatter Rebar
454.53333333333336,479.55,Explosive Rebar
479.56666666666666,579.4166666666666,Rifle
481.03333333333336,518.7333333333333,Magazine size & Inventory stack size
518.75,557.8166666666667,Turbo Ammo
557.8333333333334,579.4166666666666,Smartridge Projectile
579.4333333333333,807.2166666666667,Nobelisk
583.209286,599.6833333333333,Classical Nobelisk
599.7,651.8333333333334,Pulse Nobelisk
651.85,685.7666666666667,Cluster Nobelisk
685.7833333333333,699.6166666666667,Gas Nobelisk
699.6333333333333,807.2166666666667,Nuke Nobelisk
807.2333333333333,897.6166666666667,Bonus Round
897.6333333333333,937.681,Outro
927,,End Tag
