,25.792433333333335,Intro
1.9019,25.792433333333335,Snutt Talk: Approaching vacation period in Sweden
25.8258,84.93221534926472,Update 6
25.8258,43.91975321691177,Snutt Talk: Update 6 is available on Experimental
43.91975321691177,84.93221534926472,Snutt Talk: Crashes & bugfixes
84.93221534926472,264.59766666666667,Vacation Time
84.93221534926472,124.99153333333334,Snutt Talk: Coffee Stainers going on vacation
125.0249,160.32683333333333,Q&A: Why did you guys release Update 6 before you went on vacation?
160.3602,244.67776666666668,Snutt Talk: Dedicated Servers
244.71113333333335,264.59766666666667,Snutt Talk: Snuttcation
264.63103333333333,,Outro
264.63103333333333,310.7771333333333,Snutt Talk: Wrapping up the video
318.2179,,End Tag
