,25.959266666666668,Intro
25.992633333333334,89.9899,Quick Rewind
90.02326666666667,135.6355,Q&A: When is Update 6 coming to the default Early Access branch?
135.66886666666667,284.81786666666665,A couple of things
138.90543333333335,198.73186666666666,Creature AI
198.76523333333333,284.81786666666665,First Patches since coming back from Vacation
209.583609,266.7998666666667,Introducing Goodies
212.54566666666668,225.39183333333332,Pipes without Pipe Indicators
225.42520000000002,238.1379,You can now apply Materials to Quarter Pipes
238.17126666666667,239.8396,Headlights on Trains
239.87296666666668,266.7998666666667,Solving the problem with the Explorer having two seats
266.83323333333334,275.275,Check the Patch Notes
275.3083666666667,284.81786666666665,More Patches to come
284.8512333333333,,Outro
309.5092,,End Tag
