,634.2,Stream Starting Soon
634.2333333333333,752.1,Update 6 Teaser
752.1333333333333,799.636536,Intro
799.6666666666666,3246.6666666666665,Community Highlights
3246.7,7396.90706,State of Dev
3246.7,3302.627721,Intro
3302.6666666666665,3468.438159,Update 6 Experimental branch
3468.4666666666667,3629.084424,More build pieces + Uzu interruption
3629.133333333333,3704.446844,Stalling for Birk
3704.4666666666667,3874.789038,"Update 6 is a ""minor"" Update"
3874.8333333333335,3950.048979590958,Waiting for things on fire
3950.0666666666666,4108.761993,Who is Birk & what do Producers do?
4108.8,6928.283609,Birk & Snutt Talk: Patch Notes
4108.8,4216.266552,Intro
4216.266552,4743.473985,World Updates
4216.3,4477.068893,World Update: Spire Coast
4477.1,4550.633724,World Update: Swamp
4550.666666666667,4623.09364,World Update: Weather effects
4623.133333333333,4743.473985,"World Update: Skybox, celestial bodies"
4743.5,4887.146032567386,QA Site
4887.166666666667,5158.576077,Map Changes & Beacon removal
5158.6,5653.632021517541,Creatures
5158.6,5290.193214,AI/behaviour Changes
5290.233333333334,5364.496044,Visual Changes
5364.533333333334,5408.044584,Crab Hatchers
5408.066666666667,5436.538936,Boombox tease
5436.566666666667,5518.293482,Stingers
5518.333333333333,5615.005095,Creature Parts
5615.033333333334,5653.632021517541,HUD warnings for Creature aggression
5653.666666666667,6220.25026,Equipment
5653.666666666667,5703.88524,Intro
5703.933333333333,5887.616633,Multiple Body Slots
5887.633333333333,6079.019289,More Weapon Types
6079.066666666667,6121.153969,Holstering Equipment
6121.2,6179.899114,Equipment HUD
6179.933333333333,6196.740752,Chainsaw Sounds
6196.766666666666,6212.533333333334,Equipment Colour Schemes
6212.57145,6220.25026,Outro
6220.3,6329.390725313592,Radar Towers
6329.433333333333,6464.336772,New Buildables
6464.366666666667,6487.982612,Lights on Trains
6488,6693.548639,Little Nuggets
6488,6501.500221,Build Menu is wider now
6501.533333333334,6519.518152,Sign improvements
6519.566666666667,6605.200761,Optimisations
6605.233333333334,6693.548639,To-Do List improvements
6693.566666666667,6928.283609,Outro
6709.67126,6763.068814,Auto-regenerating Health
6775.89003,6872.030266,Overclocking & Underclocking changes not occurring yet
6928.333333333333,7178.212221,Backup Your Damn Save Files
7178.233333333334,7217.641881,Getting Update 6
7217.666666666667,7322.773655,Dedicated Servers
7322.8,7396.90706,Telemetry Changes
7396.933333333333,,Hannah & Nathalie crash the stream
7589.309474,7603.989731,Q&A: Stable = Experimental?
7680.766666666666,7768.7,Update 6 Trailer
7801.403933,7953.965619,Boombox: The most important feature of Update 6
7954,8131.121256,What's Next?
8131.166666666667,8203.166877,Issues with getting Update 6
8203.2,,Outro
