,21.11025,Intro
21.154466666666668,217.85096666666666,State of Dev
21.154466666666668,58.49176666666667,2022
58.525133333333336,97.83106666666667,1.0 Mystery Box
97.86443333333334,109.64286666666666,Update 7
109.67623333333333,166.49966666666666,World Update
166.53303333333335,192.192,System improvements
192.22536666666667,217.85096666666666,Dedicated Servers
217.88433333333333,580.4799,Update 7
217.88433333333333,267.3337333333333,Intro
267.3671,364.7644,Game Modes
267.3671,291.0908,Intro
291.12416666666667,315.9823333333333,Creative Mode
316.0157,330.8638666666667,Peaceful Mode
330.89723333333336,356.78976666666665,Other Game Modes
356.8231333333333,364.7644,Settings
364.7977666666667,482.7155666666667,Overclocking & Underclocking
364.7977666666667,385.71866666666665,Intro
385.7520333333333,451.01723333333337,Power Generators
451.05060000000003,482.7155666666667,Nuclear Power Plant
482.74893333333335,518.6848333333334,AWESOME Sink
518.7182,541.0738666666667,Quality of Life Improvements
541.1072333333334,562.1949666666667,Creatures
562.2283333333334,580.4799,Outro
580.5132666666667,609.9426666666667,FICSMAS 2022
609.9760333333334,,Outro
