,37.17046666666667,Intro
0,37.137100000000004,Previously on Dragonball Z
37.17046666666667,974.0063666666667,Blueprint Designer Revealed
37.17046666666667,67.20046666666667,Update 7 new Building Teaser
67.23383333333334,95.06163333333333,BLUEPRINTS (actually not kidding)
95.095,123.85706666666667,Blueprints are a long-requested Feature
123.89043333333333,145.2451,Community point of view vs. Coffee Stain Studio's point of view
145.27846666666667,201.1009,Unreal Engine Object Limit
201.13426666666666,895.5947,How Blueprints will work in Satisfactory
201.13426666666666,280.28000000000003,Intro
280.3133666666667,842.6084333333333,Let's jump into the game
280.3133666666667,396.5962,Creating the Blueprint
280.3133666666667,284.8846,Intro
284.91796666666664,354.9546,Setting up an Iron Rod manifold
354.9879666666667,375.208167,Plan ahead for expansion
375.24153333333334,396.5962,Power
396.6295666666667,515.2480666666667,Saving the Blueprint
396.6295666666667,403.521306,Intro
403.521306,426.25916666666666,Resource Costs & Overclocking
426.2925333333333,508.34116666666665,"Name, Description, Directory, Icons"
508.3745333333333,515.2480666666667,Outro
515.2814333333333,687.3533333333334,Applying the Blueprint in the world
515.2814333333333,517.8166632027778,Intro
517.8166632027778,557.0231333333334,Preparing an area for the Manifold Blueprint
557.0565,630.1962333333333,Applying the Iron Rod Manifold
630.2296,653.4861666666667,Integrating the freshly-applied Blueprint
653.5195333333334,687.3533333333334,Expanding the freshly-applied Blueprint
687.3867,772.304867,Creating new Blueprints from existing Blueprints
772.3382333333334,792.4249666666667,Examples & Suggestions
792.4583333333334,842.6084333333333,Limitations of the Blueprint Designer
842.6418,892.6584333333334,Blueprints are not persistent to your Save file
892.6918000000001,895.5947,Outro
895.6280666666667,974.0063666666667,An Update on Overclocking
974.0397333333334,988.7210666666667,Sprint Mode for Ziplines
988.7544333333334,,Outro
