,547.1666666666666,Stream Starting Soon
547.2,958.124247,Intro
547.2,575,FICSMAS Title Card
575.0333333333333,679.0666666666667,"Not ready, but we're live"
679.0666666666667,715.752139,"Intro, Take 2"
715.752139,842.341524,Snutt still missing
842.341524,855.466643,State of Dave
855.466643,958.124247,Merch
958.124247,1355.489655,Giveaway Info
1355.489655,2809.410114,Community Highlights
1355.489655,1527.6666666666667,Intro
1527.6666666666667,2793.728951,Community Highlights
2793.766666666667,2809.410114,Outro
2809.410114,3827.603964,Quiz
2809.410114,2901.036688,Intro
2901.036688,2913.105688,"Did someone say ""bridge review""?"
2913.105688,3070.128147633346,Intro (continued)
3070.128147633346,3733.074456,The Quiz
3733.1,3827.603964,Outro
3827.633333333333,4709.520055,Update 7 Launch
3827.633333333333,3917.233333333333,Intro
3917.266666666667,4449.5,Update 7 Patch Notes Video
4449.533333333334,4709.520055,Outro
4709.566666666667,6105.517974,Giveaway
6105.517974,,Wrap Up/Q&A?
6105.517974,6220.988365,Intro
6220.988365,6229.213893,Q&A: Golf?
6229.213893,6235.886678,Community FYI: The honest is refreshing
6235.886678,6238.368206,Community FYI: The video was awesome
6239.331693,6279.508815,Q&A: Will Blueprints work on GeForce Now?
6282.675141,6285.635843,"Q&A: Jace, how's your day going?"
6286.770603,6291.760196,Q&A: Is 1.0 after Update 7?
6295.590683,6312.586282,Q&A: Is it possible to build multiple Blueprint Designers?
6314.630245,6408.607182,Q&A: Is placing a Blueprint easy to undo?
6410.197256,6433.66694,Q&A: Will y'all ever consider expanding the game to Consoles?
6435.649753,6489.175972,Q&A: More seasonal events in 2023?
6490.626193,6499.250417,Q&A: FICSMAS mixtape for Boombox?
6499.77807,6503.172942,Q&A: Please do more events?
6505.530103,6572.780037,Q&A: The studio looks great. New changes?
6574.089203,6582.076074722869,Q&A: Do you guys need more programmers?
6582.471997,6599.734864,Q&A: May the 4th- can we get a light saber?
6605.396899,6628.030045,Q&A: What is Update 1.0?
6630.291231,6652.871132,Q&A: Can we have table & chairs?
6678.650146,6742.917853042708,"Q&A: In the future, can the Blueprint Designer be enlarged?"
6745.010982,6785.122799,Q&A: Will there be any multi-seat Vehicle later?
6789.929672,6845.258495,Q&A: When will the next patch go Experimental?
6848.700044,6855.954684,Q&A: When will we get a hexagonal Foundation?
6855.954684,6879.332855,Q&A: More variety in fauna?
6881.01802,6889.73222,Q&A: Have you guys thought of adding leashes in the game for the Lizard Doggo?
6897.644689,6908.887133,Q&A: Can Coalgens fit in the Blueprint Designer?
6909.738879,6912.159366,Q&A: The Big Crab is Snutt?
6913.195827,6933.041651,Q&A: Any interest internally in a 6-way Pipe junction?
6939.004174,6949.353705,"Q&A: I missed the stream, are Patch Notes out?"
6953.756207,6960.018653,Q&A: Do I have your permission to look at the Update now?
6961.06383,6992.999004,Q&A: Mirrored buildings?
6992.999004,7007.562425,Q&A: Bridge review?
7008.74568,7013.335835,Q&A: Are there any plans to add more Trucks?
7013.335835,7051.338148,Q&A: How much focus got Update 7 vs. 1.0?
7051.338148,7055.684182,"Community FYI: No question, just ""thank you"""
7059.604385,7065.740414,Q&A: Can Vehicles go faster with Power Shards?
7066.22617,7107.292289,"Q&A: What is the planned release date of 1.0, currently?"
7109.788599,7129.118954,"Q&A: How's the team's mental health going, gotta check in the homies?"
7129.684357,7166.653421,Q&A: Did Update 7 break Mods?
7169.262979,7191.610626,"Q&A: Jace, what's your favourite game?"
7195.174814,7205.979553,Community FYI: Just came here to say you're one of my favourite game development companies
7206.817547,7242.884328,Q&A: Are there any plans for cooperations with other games?
7249.692858,7255.899186,Q&A: Is Sanctum the Tower Defense one?
7260.62112,7272.87499,Q&A: Is there more work going to be done on Vehicles?
7276.012738,7299.165998,Q&A: Can you try giving us a hint on what will be the late-game mechanics?
7299.600469,7315.5691,Q&A: Are you celebrating FICSMAS?
7317.077326,7342.914257,"Q&A: Bigger drone-like aircraft, like a helicopter?"
7343.80296,7358.002772,Community FYI: No Update on Epic yet
7359.318622,7370.415264,Q&A: Will artefacts affect gameplay?
7373.877471,7400.318273,Q&A: Are you working on Dedicated Servers?
7408.773281,7437.351342,"Q&A: Will there be ability to decorate the room in the HUB, it feels bare?"
7439.45071,7445.300398,Q&A: Why did you make the artefact woman's voice so bloody annoying?
7445.300398,,Outro
