,625.5421495288182,Stream Starting Soon
625.5421495288182,1090.0279333765625,Intro
625.5421495288182,686.303908,Snutt Shenanigans
686.303908,750.796207,Hello Everybody
750.796207,1090.0279333765625,Eevee
1090.0279333765625,1555.5961634361786,Creating the Update 7 Patch Notes Video
1555.5961634361786,4919.231461738296,Opening up the video
1555.5961634361786,1585.948773,Intro
1585.948773,1702.8480725942495,Opening scene
1702.8814081737607,2093.0743663530743,Snutt speaks Australian
2093.1077019325858,2252.348474,Jace can do any accent
2252.348474,2571.628149,It's more like Greece now
2571.628149,2692.9814552377325,Enunciation is important
2693.014790817244,3123.5438002051837,Gooder
3123.5771357846947,3157.606369,Gooder - B-roll
3157.606369,3510.7365562284836,Blueprint Designer tease
3510.7698918079946,3682.666,Zippier
3682.666,3985.268530571288,Power Shards
3985.3018661507995,4050.472924095315,Overclocking + Power Shards B-roll
4050.5062596748267,4577.308422691289,Blueprint Designer reveal
4577.3417582708,4748.772395,Outro
4748.819979276728,4919.231461738296,End Tag - Simon Saga continues
4919.262507,7927.53184302273,Behind the scenes
4919.262507,5038.306437806651,Intro
5038.306437806651,5111.215802,Clone masking (Part 1)
5111.215802,5152.433162,Unused close-up
5152.480511578591,5448.474832,Colour grading
5448.474832,6106.480725,Additional Aussie takes
6106.480725,6382.163898,It started out like Madagascar
6382.163898,6848.500609,Clone masking (Part 2)
6848.500609,6986.924487,Jace drawing in the background
6986.924487,7107.294566,Snutt's freak-out
7107.294566,7209.728859,layna_live raid
7209.728859,7331.316632,Blueprint Designer reveal takes
7331.316632,7402.287065,Power Shard takes
7402.287065,7451.802428,Q&A: Are those doors really tall or are you guys really short?
7451.802428,7490.387772,Nailed it
7490.387772,7786.17766,Final scene
7490.387772,7541.855456,Setting up Snutt & Jace clones (Part 1)
7541.855456,7569.013846,Sus
7569.013846,7622.591032,Setting up Snutt & Jace clones (Part 2)
7622.591032,7786.17766,Setting up Snutt & Jace clones (Part 3)
7786.17766,7812.390782,Simon Saga
7812.390782,7901.282466,Ziplining plates
7901.282466,7914.06856,Clips for Twitter
7914.06856,7927.53184302273,Outro
7927.53184302273,8088.748665,Closing remarks
8088.748665,,Outro
