,826.221,Did we make ANY of these games?!
0,68.001,Intro
68.03463333333333,102.26883333333333,Coffee Stain Studios only work on Satisfactory
102.3022,115.4153,Check the links
115.44866666666667,756.787565,Organisational Chart
115.44866666666667,151.31783333333334,Intro
151.3512,181.581,Coffee Stain Holding & Embracer Daddy
181.61476666666667,301.501,Coffee Stain Studios
301.53456666666665,410.10970000000003,Coffee Stain Publishing
410.1430666666667,472.8056666666667,Coffee Stain North
472.83903333333336,534.868,Lavapotion
534.9010333333333,585.6183666666667,Easy Trigger Games
585.6517333333334,600.0995,Box Dragon
600.1328666666667,671.4374333333334,Coffee Stain Gothenburg
671.4708,718.985,Coffee Stain Malmö
719.0183000000001,756.787565,Outro
756.8227333333333,810.095263,Satisfactory Update 8
810.1426666666666,,Outro
